dbn,school_name,postcode,state_code,NYCBorough
09X329,Dreamyard Preparatory School,10457,NY,BRONX
09X350,New Directions Secondary School,10457,NY,BRONX
09X365,Academy for Language and Technology,10453,NY,BRONX
09X403,Bronx International High School,10456,NY,BRONX
09X404,School for Excellence,10456,NY,BRONX
09X412,Bronx High School of Business,10457,NY,BRONX
09X413,Bronx High School for Medical Science,10457,NY,BRONX
09X505,"Bronx School for Law, Government and Justice",10451,NY,BRONX
09X517,Frederick Douglass Academy III Secondary School,10456,NY,BRONX
09X525,Bronx Leadership Academy High School,10457,NY,BRONX
09X543,High School for Violin and Dance,10456,NY,BRONX
09X564,Claremont International High School,10457,NY,BRONX
09X568,Young Women's Leadership School of the Bronx (TYWLS),10453,NY,BRONX
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),10463,NY,BRONX
10X213,Bronx Engineering and Technology Academy,10463,NY,BRONX
10X225,Theatre Arts Production Company School,10457,NY,BRONX
10X237,"Marie Curie School for Medicine, Nursing, and Health Professions, The",10463,NY,BRONX
10X243,West Bronx Academy for the Future,10458,NY,BRONX
10X264,Bronx Academy for Software Engineering (BASE),10458,NY,BRONX
10X268,Kingsbridge International High School,10468,NY,BRONX
10X284,Bronx School of Law and Finance,10463,NY,BRONX
10X342,International School for Liberal Arts,10468,NY,BRONX
10X351,Bronx Collaborative High School,10468,NY,BRONX
10X353,World View High School,10468,NY,BRONX
10X368,In-Tech Academy (M.S. / High School 368),10463,NY,BRONX
10X374,Knowledge and Power Preparatory Academy International High School (KAPPA),10458,NY,BRONX
10X433,High School for Teaching and the Professions,10468,NY,BRONX
10X434,Belmont Preparatory High School,10458,NY,BRONX
10X437,Fordham High School for the Arts,10458,NY,BRONX
10X438,Fordham Leadership Academy,10458,NY,BRONX
10X439,Bronx High School for Law and Community Service,10458,NY,BRONX
10X440,DeWitt Clinton High School,10468,NY,BRONX
10X442,"Celia Cruz Bronx High School of Music, The",10468,NY,BRONX
10X445,"Bronx High School of Science, The",10468,NY,BRONX
10X477,Marble Hill High School for International Studies,10463,NY,BRONX
10X524,Crotona International High School,10458,NY,BRONX
10X546,Bronx Theatre High School,10463,NY,BRONX
10X549,Discovery High School,10468,NY,BRONX
10X565,High School for Energy and Technology,10458,NY,BRONX
10X696,High School of American Studies at Lehman College,10468,NY,BRONX
11X249,Bronx Health Sciences High School,10475,NY,BRONX
11X253,Bronx High School for Writing and Communication Arts,10467,NY,BRONX
11X265,Bronx Lab School,10467,NY,BRONX
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,10466,NY,BRONX
11X275,High School of Computers and Technology,10467,NY,BRONX
11X288,Collegiate Institute for Math and Science (CIMS),10469,NY,BRONX
11X290,Bronx Academy of Health Careers,10467,NY,BRONX
11X299,Astor Collegiate Academy,10469,NY,BRONX
11X418,Bronx High School for the Visual Arts,10462,NY,BRONX
11X455,Harry S Truman High School,10475,NY,BRONX
11X508,Bronxdale High School,10469,NY,BRONX
11X509,High School of Language and Innovation,10469,NY,BRONX
11X513,New World High School,10466,NY,BRONX
11X514,"Bronxwood Preparatory Academy, The",10466,NY,BRONX
11X542,Pelham Preparatory Academy,10469,NY,BRONX
11X544,High School for Contemporary Arts,10467,NY,BRONX
11X545,Bronx Aerospace High School,10467,NY,BRONX
12X242,Mott Hall V,10472,NY,BRONX
12X248,"Metropolitan High School, The",10459,NY,BRONX
12X251,Explorations Academy H.S.,10460,NY,BRONX
12X267,Bronx Latin,10456,NY,BRONX
12X271,East Bronx Academy for the Future,10460,NY,BRONX
12X388,Pan American International High School at Monroe,10472,NY,BRONX
12X446,Arturo A. Schomburg Satellite Academy Bronx,10459,NY,BRONX
12X478,"Cinema School, The",10472,NY,BRONX
12X479,Bronx Career and College Preparatory High School,10456,NY,BRONX
12X511,Bronx Envision Academy,10460,NY,BRONX
12X521,"Metropolitan Soundview High School, The",10472,NY,BRONX
12X550,High School of World Cultures,10472,NY,BRONX
12X682,Fannie Lou Hamer Freedom High School,10460,NY,BRONX
12X684,Wings Academy,10460,NY,BRONX
13K265,Dr. Susan S. McKinney Secondary School of the Arts,11205,NY,BROOKLYN
13K350,Urban Assembly School for Music and Art,11201,NY,BROOKLYN
13K412,Brooklyn Community Arts & Media High School (BCAM),11205,NY,BROOKLYN
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",11201,NY,BROOKLYN
13K430,Brooklyn Technical High School,11217,NY,BROOKLYN
13K439,Brooklyn International High School,11201,NY,BROOKLYN
13K483,"Urban Assembly School for Law and Justice, The",11201,NY,BROOKLYN
13K527,Urban Assembly Institute of Math and Science for Young Women,11201,NY,BROOKLYN
13K553,Brooklyn Academy High School,11216,NY,BROOKLYN
13K594,Gotham Professional Arts Academy,11238,NY,BROOKLYN
13K595,Bedford Academy High School,11216,NY,BROOKLYN
13K605,George Westinghouse Career and Technical Education High School,11201,NY,BROOKLYN
13K616,Brooklyn High School for Leadership and Community Service,11205,NY,BROOKLYN
13K670,Benjamin Banneker Academy,11205,NY,BROOKLYN
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",11201,NY,BROOKLYN
14K071,Juan Morel Campos Secondary School,11206,NY,BROOKLYN
14K449,"Brooklyn Latin School, The",11206,NY,BROOKLYN
14K454,"Williamsburg High School of Art and Technology, The",11206,NY,BROOKLYN
14K474,PROGRESS High School for Professional Careers,11211,NY,BROOKLYN
14K477,East Williamsburg Scholars Academy,11211,NY,BROOKLYN
14K478,"High School for Enterprise, Business and Technology, The",11211,NY,BROOKLYN
14K488,Brooklyn Preparatory High School,11211,NY,BROOKLYN
14K558,Williamsburg High School for Architecture and Design,11211,NY,BROOKLYN
14K561,Williamsburg Preparatory School,11211,NY,BROOKLYN
14K586,Lyons Community School,11206,NY,BROOKLYN
14K610,A-TECH High School,11222,NY,BROOKLYN
14K614,Young Women's Leadership School of Brooklyn (TYWLS),11206,NY,BROOKLYN
14K685,El Puente Academy for Peace and Justice,11211,NY,BROOKLYN
15K423,Brooklyn Frontiers High School,11201,NY,BROOKLYN
15K429,Digital Arts and Cinema Technology High School,11201,NY,BROOKLYN
15K448,Brooklyn Collaborative Studies,11231,NY,BROOKLYN
15K462,John Jay School for Law,11215,NY,BROOKLYN
15K463,Cyberarts Studio Academy,11215,NY,BROOKLYN
15K464,Park Slope Collegiate,11215,NY,BROOKLYN
15K497,"Boerum Hill School for International Studies, The",11201,NY,BROOKLYN
15K519,Cobble Hill School of American Studies,11201,NY,BROOKLYN
15K592,Khalil Gibran International Academy,11217,NY,BROOKLYN
15K656,Brooklyn High School of the Arts,11217,NY,BROOKLYN
15K667,Sunset Park High School,11232,NY,BROOKLYN
15K684,Millennium Brooklyn High School,11215,NY,BROOKLYN
16K455,Boys and Girls High School,11213,NY,BROOKLYN
16K498,Brooklyn High School for Law and Technology,11221,NY,BROOKLYN
16K688,"Brooklyn Academy of Global Finance, The",11221,NY,BROOKLYN
16K765,Nelson Mandela High School,11213,NY,BROOKLYN
17K122,Pathways in Technology Early College High School (P-TECH),11213,NY,BROOKLYN
17K382,Academy for College Preparation and Career Exploration: A College Board School,11226,NY,BROOKLYN
17K408,Academy of Hospitality and Tourism,11226,NY,BROOKLYN
17K524,International High School at Prospect Heights,11225,NY,BROOKLYN
17K528,"High School for Global Citizenship, The",11225,NY,BROOKLYN
17K531,"School for Human Rights, The",11203,NY,BROOKLYN
17K537,High School for Youth and Community Development at Erasmus,11226,NY,BROOKLYN
17K539,High School for Service & Learning at Erasmus,11226,NY,BROOKLYN
17K543,"Science, Technology and Research Early College High School at Erasmus (STAR)",11226,NY,BROOKLYN
17K546,High School for Public Service: Heroes of Tomorrow,11203,NY,BROOKLYN
17K547,Brooklyn Academy of Science and the Environment (BASE),11225,NY,BROOKLYN
17K548,Brooklyn School for Music & Theatre,11225,NY,BROOKLYN
17K590,Medgar Evers College Preparatory School,11225,NY,BROOKLYN
17K600,Clara Barton High School,11225,NY,BROOKLYN
17K646,Aspirations Diploma Plus High School,11225,NY,BROOKLYN
17K745,Brooklyn Institute for Liberal Arts (BILA),11203,NY,BROOKLYN
17K751,Academy for Health Careers,11213,NY,BROOKLYN
18K563,It Takes a Village Academy,11203,NY,BROOKLYN
18K566,Brooklyn Community High School for Excellence and Equity,11236,NY,BROOKLYN
18K567,Brooklyn Theatre Arts High School,11236,NY,BROOKLYN
18K569,Kurt Hahn Expeditionary Learning School,11203,NY,BROOKLYN
18K576,Victory Collegiate High School,11236,NY,BROOKLYN
18K617,High School for Innovation in Advertising and Media,11236,NY,BROOKLYN
18K629,Cultural Academy for the Arts and Sciences,11203,NY,BROOKLYN
18K633,High School for Medical Professions,11236,NY,BROOKLYN
18K635,Olympus Academy,11236,NY,BROOKLYN
18K637,Academy for Conservation and the Environment,11236,NY,BROOKLYN
18K642,Urban Action Academy,11236,NY,BROOKLYN
19K404,Academy for Young Writers,11208,NY,BROOKLYN
19K409,East New York Family Academy,11207,NY,BROOKLYN
19K422,Spring Creek Community School,11208,NY,BROOKLYN
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,11207,NY,BROOKLYN
19K504,High School for Civil Rights,11207,NY,BROOKLYN
19K507,Performing Arts and Technology High School,11207,NY,BROOKLYN
19K510,World Academy for Total Community Health High School (WATCH),11207,NY,BROOKLYN
19K583,Multicultural High School,11208,NY,BROOKLYN
19K615,Transit Tech Career and Technical Education High School,11208,NY,BROOKLYN
19K618,Academy of Innovative Technology,11208,NY,BROOKLYN
19K639,Brooklyn Lab School,11208,NY,BROOKLYN
19K659,Cypress Hills Collegiate Preparatory School,11208,NY,BROOKLYN
19K660,W. H. Maxwell Career and Technical Education High School,11207,NY,BROOKLYN
19K683,School for Classics High School,11208,NY,BROOKLYN
19K764,"Urban Assembly School for Collaborative Healthcare, The",11208,NY,BROOKLYN
19K953,The East New York Arts and Civics High School (T.E.A.C.H.),11207,NY,BROOKLYN
20K445,New Utrecht High School,11214,NY,BROOKLYN
20K485,High School of Telecommunication Arts and Technology,11220,NY,BROOKLYN
20K490,Fort Hamilton High School,11209,NY,BROOKLYN
20K505,Franklin Delano Roosevelt High School,11204,NY,BROOKLYN
20K609,Urban Assembly School for Leadership and Empowerment,11204,NY,BROOKLYN
21K337,International High School at Lafayette,11214,NY,BROOKLYN
21K344,Rachel Carson High School for Coastal Studies,11224,NY,BROOKLYN
21K348,High School of Sports Management,11214,NY,BROOKLYN
21K410,Abraham Lincoln High School,11235,NY,BROOKLYN
21K468,Kingsborough Early College School,11214,NY,BROOKLYN
21K525,Edward R. Murrow High School,11230,NY,BROOKLYN
21K540,John Dewey High School,11223,NY,BROOKLYN
21K559,Life Academy High School for Film and Music,11214,NY,BROOKLYN
21K572,Leaders High School,11214,NY,BROOKLYN
21K620,William E. Grady Career and Technical Education High School,11235,NY,BROOKLYN
21K690,Brooklyn Studio Secondary School,11214,NY,BROOKLYN
21K728,Liberation Diploma Plus,11224,NY,BROOKLYN
22K405,Midwood High School,11210,NY,BROOKLYN
22K425,James Madison High School,11229,NY,BROOKLYN
22K535,Leon M. Goldstein High School for the Sciences,11235,NY,BROOKLYN
22K555,Brooklyn College Academy,11218,NY,BROOKLYN
22K611,Origins High School,11235,NY,BROOKLYN
22K630,Professional Pathways High School,11235,NY,BROOKLYN
23K493,Brooklyn Collegiate: A College Board School,11233,NY,BROOKLYN
23K514,Frederick Douglass Academy VII High School,11212,NY,BROOKLYN
23K643,Brooklyn Democracy Academy,11212,NY,BROOKLYN
23K644,Eagle Academy for Young Men II,11233,NY,BROOKLYN
23K647,Metropolitan Diploma Plus High School,11212,NY,BROOKLYN
23K697,Teachers Preparatory High School,11212,NY,BROOKLYN
24Q236,International High School for Health Sciences,11373,NY,QUEENS
24Q264,Academy of Finance and Enterprise,11101,NY,QUEENS
24Q267,High School of Applied Communication,11101,NY,QUEENS
24Q293,Civic Leadership Academy,11373,NY,QUEENS
24Q296,Pan American International High School,11373,NY,QUEENS
24Q299,Bard High School Early College Queens,11101,NY,QUEENS
24Q455,Newtown High School,11373,NY,QUEENS
24Q485,Grover Cleveland High School,11385,NY,QUEENS
24Q520,Middle College High School at LaGuardia Community College,11101,NY,QUEENS
24Q530,International High School at LaGuardia Community College,11101,NY,QUEENS
24Q550,High School for Arts and Business,11368,NY,QUEENS
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",11101,NY,QUEENS
24Q585,Maspeth High School,11373,NY,QUEENS
24Q600,Queens Technical High School,11101,NY,QUEENS
24Q610,Aviation Career & Technical Education High School,11101,NY,QUEENS
25Q240,Veritas Academy,11354,NY,QUEENS
25Q241,Queens High School for Language Studies,11354,NY,QUEENS
25Q252,"Queens School of Inquiry, The",11366,NY,QUEENS
25Q263,Flushing International High School,11355,NY,QUEENS
25Q281,East-West School of International Studies,11355,NY,QUEENS
25Q285,World Journalism Preparatory: A College Board School,11358,NY,QUEENS
25Q425,John Bowne High School,11367,NY,QUEENS
25Q460,Flushing High School,11354,NY,QUEENS
25Q525,Townsend Harris High School,11367,NY,QUEENS
25Q540,Queens Academy High School,11354,NY,QUEENS
25Q670,Robert F. Kennedy Community High School,11366,NY,QUEENS
25Q792,North Queens Community High School,11367,NY,QUEENS
26Q315,Business Technology Early College High School (BTECH),11427,NY,QUEENS
26Q415,Benjamin N. Cardozo High School,11364,NY,QUEENS
26Q430,Francis Lewis High School,11365,NY,QUEENS
26Q435,Martin Van Buren High School,11427,NY,QUEENS
26Q495,Bayside High School,11361,NY,QUEENS
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",11426,NY,QUEENS
27Q260,Frederick Douglass Academy VI High School,11691,NY,QUEENS
27Q262,Channel View School for Research,11694,NY,QUEENS
27Q302,"Queens High School for Information, Research, and Technology",11691,NY,QUEENS
27Q308,Robert H. Goddard High School of Communication Arts and Technology,11417,NY,QUEENS
27Q309,Academy of Medical Technology: A College Board School,11691,NY,QUEENS
27Q314,Epic High School - South,11420,NY,QUEENS
27Q323,Scholars' Academy,11694,NY,QUEENS
27Q324,Rockaway Park High School for Environmental Sustainability,11694,NY,QUEENS
27Q334,Epic High School - North,11419,NY,QUEENS
27Q351,Rockaway Collegiate High School,11694,NY,QUEENS
27Q400,August Martin High School,11434,NY,QUEENS
27Q475,Richmond Hill High School,11418,NY,QUEENS
27Q480,John Adams High School,11417,NY,QUEENS
27Q650,"High School for Construction Trades, Engineering and Architecture",11416,NY,QUEENS
28Q167,Metropolitan Expeditionary Learning School,11375,NY,QUEENS
28Q284,York Early College Academy,11433,NY,QUEENS
28Q310,Queens Collegiate: A College Board School,11432,NY,QUEENS
28Q325,Hillside Arts & Letters Academy,11432,NY,QUEENS
28Q328,High School for Community Leadership,11432,NY,QUEENS
28Q350,Jamaica Gateway to the Sciences,11432,NY,QUEENS
28Q440,Forest Hills High School,11375,NY,QUEENS
28Q505,Hillcrest High School,11432,NY,QUEENS
28Q620,Thomas A. Edison Career and Technical Education High School,11432,NY,QUEENS
28Q680,Queens Gateway to Health Sciences Secondary School,11432,NY,QUEENS
28Q686,Queens Metropolitan High School,11375,NY,QUEENS
28Q687,Queens High School for the Sciences at York College,11433,NY,QUEENS
28Q690,High School for Law Enforcement and Public Safety,11434,NY,QUEENS
28Q896,"Young Women's Leadership School, Queens (TYWLS)",11432,NY,QUEENS
29Q243,Institute for Health Professions at Cambria Heights,11411,NY,QUEENS
29Q248,Queens Preparatory Academy,11413,NY,QUEENS
29Q259,Pathways College Preparatory School: A College Board School,11412,NY,QUEENS
29Q265,Excelsior Preparatory High School,11413,NY,QUEENS
29Q272,George Washington Carver High School for the Sciences,11413,NY,QUEENS
29Q283,Preparatory Academy for Writers: A College Board School,11413,NY,QUEENS
29Q313,Benjamin Franklin High School for Finance & Information Technology,11411,NY,QUEENS
29Q326,Cambria Heights Academy,11423,NY,QUEENS
29Q327,Eagle Academy for Young Men III,11434,NY,QUEENS
29Q492,"Mathematics, Science Research and Technology Magnet High School",11411,NY,QUEENS
29Q498,Humanities & Arts Magnet High School,11411,NY,QUEENS
